Distance,Angle,axialRotation,zShift
8.10222,29.0453,13.2406,1.08622
9.75703,-0.779261,24.3452,0.650773
8.28222,-29.7805,29.9815,4.09377
8.68545,-73.9463,33.0355,0.478519
10.4525,37.9184,30.4977,2.58107
6.2059,-73.5169,82.4723,2.65153
7.87005,-39.2886,54.3819,4.47736
11.2752,16.6664,96.7947,0.717376
8.20999,-23.9332,84.1873,2.30427
8.45848,-49.4898,58.5884,3.09117
6.99527,-55.8036,63.1238,3.03086
9.90853,-59.7352,40.6452,4.39452
9.68078,39.8851,44.3015,3.46372
9.09381,45.9296,70.4007,4.03207
7.39535,-10.9772,8.61397,4.78942
9.88081,-50.9855,60.4047,3.79769
8.56137,-65.4518,58.2998,3.84441
8.06254,-79.0849,15.7136,3.53366
8.5757,9.69372,53.8035,-0.00433505
9.39995,-49.1031,13.6464,2.43185
8.58332,8.9808,75.0032,0.848154
6.77289,-88.0542,23.8251,1.38047
10.2926,-35.5768,46.8023,4.23989
10.9595,34.0686,93.5798,0.651167
9.29239,-44.3407,32.9578,1.78789
10.2684,-35.6237,32.1882,3.53567
7.55319,-52.3723,21.6959,1.16385
8.45016,-63.3057,64.501,2.38836
7.29008,-29.064,55.9808,2.82588
9.24798,-41.1606,50.3255,3.03311
11.2382,59.0166,91.878,2.82585
10.5496,26.2156,53.9455,3.40141
8.27286,-18.8822,71.3281,0.735123
9.52466,49.3995,41.3967,1.16498
11.5865,15.38,85.8951,5.60846
8.35349,40.0154,41.4481,4.73864
10.3777,-55.4623,55.6022,1.22214
9.15411,49.9372,69.8404,0.844631
8.15151,-3.74587,52.5543,5.60769
10.7371,52.029,34.9889,4.34235
8.43477,-27.2096,49.2157,3.18108
8.52634,23.5228,24.3467,4.3031
9.45704,33.4238,19.5843,0.94901
10.0878,-64.9047,43.4993,1.81689
6.4311,-44.1988,56.1057,1.27337
9.21167,5.10379,21.7827,4.56398
6.95261,-45.2903,45.3036,1.73958
9.07442,6.82712,22.6443,4.1299
10.1846,38.7602,75.9001,1.46114
8.57144,-49.8328,41.9243,5.04795
6.92062,-37.8222,51.6017,1.85861
9.03778,-32.4349,61.9877,3.95875
9.63848,-44.838,95.2852,0.302934
11.3382,30.7389,93.5746,1.95498
7.48135,-27.375,67.2467,5.01553
10.1992,-49.5827,71.3625,3.34731
9.60472,49.7275,67.4489,0.862191
6.37092,-5.15589,75.6647,3.59486
9.60309,-30.7708,26.9223,4.56514
10.5103,27.3461,35.4679,0.999778
